Unidade Pai;CodigoOriginal;DescricaoOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;Item Fundo;SituacaoFundo;ClonesLista;PrensadoRevisado
BA 1;8037489;MONTE BIANCO BR 33,5X60**;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8037490;MONTE BIANCO FENDI AC 33,5X60**;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8037491;MONTE BIANCO FENDI BR 33,5X60**;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040170;VERTICE BEGE AC 33,5X60;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040180;ESCALA BRANCO AC 32,5X59;FP;m2;MONOPOROSA;8040168;FP;[];Nao
BA 1;8040181;ESCALA MARINHO AC 32,5X59;FP;m2;MONOPOROSA;8040169;FP;[];Nao
BA 1;8040184;ESTRELA BRANCO AC 32,5X59;FP;m2;MONOPOROSA;8040172;FP;[];Nao
BA 1;8040185;ESTRELA BRANCO BR 32,5X59;FP;m2;MONOPOROSA;8040173;FP;[];Nao
BA 1;8040186;ESTRELA CARBONO AC 32,5X59;FP;m2;MONOPOROSA;8040174;FP;[];Nao
BA 1;8040183;FAVO BRANCO BR 32,5X59;FP;m2;MONOPOROSA;8040171;FP;[];Nao
BA 1;8037492;FROST DT AC 32,5X59**;FP;m2;MONOPOROSA;8037488;FP;[];Nao
BA 1;8037493;FROST DT BR 32,5X59**;FP;m2;MONOPOROSA;8037489;FP;[];Nao
BA 1;8040175;HEXA BRANCO AC 32,5X59;FP;m2;MONOPOROSA;8040163;FP;[];Nao
BA 1;8040178;LOSANGO AMARELO AC 32,5X59;FP;m2;MONOPOROSA;8040166;FP;[];Nao
BA 1;8040176;LOSANGO BRANCO AC 32,5X59;FP;m2;MONOPOROSA;8040164;FP;[];Nao
BA 1;8040177;LOSANGO BRANCO BR 32,5X59;FP;m2;MONOPOROSA;8040165;FP;[];Nao
BA 1;8040179;LOSANGO CINZA AC 32,5X59;FP;m2;MONOPOROSA;8040167;FP;[];Nao
BA 1;8042017;LOSANGO VERMELHO AC 32,5X59;FP;m2;MONOPOROSA;8042016;PL;[];Nao
BA 1;8037494;MONTE BIANCO AC 32,5X59**;FP;m2;MONOPOROSA;8037488;FP;[];Nao
BA 1;8037495;MONTE BIANCO BR 32,5X59**;FP;m2;MONOPOROSA;8037489;FP;[];Nao
BA 1;8040182;VERTICE BEGE AC 32,5X59;FP;m2;MONOPOROSA;8040170;FP;[];Nao
BA 1;8038438;AQUA BRANCO AC 30X90;FP;m2;MONOPOROSA;8038477;FP;[];Nao
BA 1;8039433;CALACATA CUBIC BR 30X90*;FP;m2;MONOPOROSA;8039428;FP;[];Nao
BA 1;8039435;CARRARA AQUA BR 30X90*;FP;m2;MONOPOROSA;8039430;FP;[];Nao
BA 1;8040451;CARRARA MAR AC 30X90;FP;m2;MONOPOROSA;8040452;FP;[];Nao
BA 1;8038434;CARTIER BLANC AC 30X90;FP;m2;MONOPOROSA;8038473;FP;[];Nao
BA 1;8039434;CUBIC BLACK AC 30X90*;FP;m2;MONOPOROSA;8039429;FP;[];Nao
BA 1;8038437;CUBIC WHITE AC 30X90;FP;m2;MONOPOROSA;8038476;FP;[];Nao
BA 1;8038436;MAR AC 30X90;FP;m2;MONOPOROSA;8038475;FP;[];Nao
BA 1;8040222;ARCO BRANCO BR 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8039427;CALACATA CRISTALO BR 31X91*;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8045044;CARPA BRANCO BR 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8045045;CARPA BRANCO MT 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8039426;CARRARA FLASH BR 31X91*;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040227;COLMEIA AREIA AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040226;COLMEIA BRANCO AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040225;COLMEIA CIMENTO AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8042296;COLMEIA VERMELHO AC 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8038472;CREMA MARFIL ORIGAMI AC 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8038471;CREMA MARFIL ORIGAMI BR 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8038469;CRISTALO AC 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8045039;DORICO CEDRO MA 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8045038;DORICO MARFIM MA 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040229;ESTRELA BRANCO BR 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8038468;FLASH AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8045043;IBIRAPUERA CAMEL MA 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8045110;IBIRAPUERA CINZA MA 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040228;LOSANGO BRANCO AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040224;LOSANGO TACO AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8045042;OASIS BRANCO AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8038470;ORIGAMI AC 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040220;PIRAMIDE BRANCO AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040221;PIRAMIDE TERRACOTTA AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8046020;TREVI CAMEL MA 31X91;PL;m2;MONOPOROSA;;;[];Nao
BA 1;8046019;TREVI ORO AC 31X91;PL;m2;MONOPOROSA;;;[];Nao
BA 1;8052609;ZEUS BRANCO AC 31X91 PR;PL;m2;MONOPOROSA;;;[];Nao
BA 1;8045040;ZEUS BRANCO BR 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8045041;ZEUS BRANCO MT 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8038477;AQUA BRANCO AC 31x91;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8039428;CALACATA CUBIC BR 31X91*;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8039430;CARRARA AQUA BR 31X91*;FP;m2;MONOPOROSA;;;[];Nao
BA 1;8040452;CARRARA MAR AC 31X91;FP;m2;MONOPOROSA;;;[];Nao
