CodigoOriginal;DescOriginal;SituacaoOriginal;UnOriginal;TipologiaOriginal;PrensadoOriginal;Dimensao;Nome Mae;Acabamento Superficie;Unidade Pai;Polo;Item Fundo;PrensadoFundo;SituacaoFundo;UnidadePaiFundo;PoloFundo;ClonesLista;PrensadoRevisado;Validado;UnidadePaiNorm;DimensaoNorm;AcabamentoNorm
8016971;SELAFACIL MARROM CX 12UN P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MARROM CX 12UN P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016613;SELAFACIL MS INCOLOR CX 12UN        P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS INCOLOR CX 12UN        P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016614;SELAFACIL MS INCOLOR CX 12UN        P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL MS INCOLOR CX 12UN        P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016599;SELAFACIL PESSEGO CX 12UN           P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL PESSEGO CX 12UN           P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016600;SELAFACIL PRETO CX 12UN             P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL PRETO CX 12UN             P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016601;SELAFACIL SALMON CX 12UN            P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL SALMON CX 12UN            P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
8016603;SELAFACIL VERDE CX 12UN             P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL VERDE CX 12UN             P/ME;;ARGAMASSAS;Mohawk (SC);;;;;;[];Nao;True;ARGAMASSAS;ADITIVO;
1402900;SELAFACIL BEGE CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL BEGE CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404121;SELAFACIL BEGE CX 12UN              P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL BEGE CX 12UN              P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1402889;SELAFACIL BRANCO CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL BRANCO CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404130;SELAFACIL BRANCO CX 12UN            P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL BRANCO CX 12UN            P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1402919;SELAFACIL CAFE CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CAFE CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404148;SELAFACIL CAFE CX 12UN              P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CAFE CX 12UN              P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1402897;SELAFACIL CINZA CX 12UN;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CINZA CX 12UN;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
1404156;SELAFACIL CINZA CX 12UN             P/ME;FP;cx;OUTRA;Nao;ADITIVO;SELAFACIL CINZA CX 12UN             P/ME;;ARGAMAS. MATRIZ;ARGAMASSA (SP);;;;;;[];Nao;True;ARGAMAS.MATRIZ;ADITIVO;
