Item Fundo;Descricao;Med;Sit;Seq;Seq Alt;Dt ini val;Dt fim val;Item;Desc;Sit;Med;Emb;Desc.Emb;;;;
171085;VILLA FILETE BEIGE/I               P/ ME;pc;FP;5;0;15/05/2003;30/12/2050;1038281;PL. SERIE VILLA VECCHIA BG/ROSSO AZ C/LI;FP;PC;;;;;;
171263;VILLA ASSISI I-2200 BIANCO;pc;FP;3;0;15/05/2003;30/12/2050;1037943;PL. SERIE VILLA ASSISI BEIGE AZ C/ DECOR;FP;PC;;;;;;
171263;VILLA ASSISI I-2200 BIANCO;pc;FP;4;0;23/05/2007;30/12/2050;1040847;PL. ME VILLA ASSISI BEIGE;LB;PC;;;;;;
171328;VILLA VECCHIA I-4400 BIANCO;pc;FP;3;0;15/05/2003;30/12/2050;1038273;PL. SERIE VILLA VECCHIA GRIGIO AZ C/ DE;FP;PC;;;;;;
171328;VILLA VECCHIA I-4400 BIANCO;pc;FP;4;0;23/05/2007;30/12/2050;1040863;PL. ME VILLA VECCHIA BIANCO;LB;PC;;;;;;
171360;VILLA ASSISI L-22 BIANCO           P/ ME;pc;FP;1;0;15/05/2003;30/12/2050;1037943;PL. SERIE VILLA ASSISI BEIGE AZ C/ DECOR;FP;PC;;;;;;
171360;VILLA ASSISI L-22 BIANCO           P/ ME;pc;FP;2;0;23/05/2007;30/12/2050;1040847;PL. ME VILLA ASSISI BEIGE;LB;PC;;;;;;
171417;VILLA VECCHIA L-44 BEIGE           P/ ME;pc;FP;4;0;15/05/2003;30/12/2050;1038265;PL. SERIE VILLA VECCHIA BG AZ C/ DECORA;FP;PC;;;;;;
171417;VILLA VECCHIA L-44 BEIGE           P/ ME;pc;FP;4;0;15/05/2003;30/12/2050;1038281;PL. SERIE VILLA VECCHIA BG/ROSSO AZ C/LI;FP;PC;;;;;;
171425;VILLA VECCHIA L-44 BIANCO          P/ ME;pc;FP;1;0;15/05/2003;30/12/2050;1038273;PL. SERIE VILLA VECCHIA GRIGIO AZ C/ DE;FP;PC;;;;;;
171425;VILLA VECCHIA L-44 BIANCO          P/ ME;pc;FP;1;0;15/05/2003;30/12/2050;1038290;PL. SERIE VILLA VECCHIA BIANCO/GRIGIO AZ;FP;PC;;;;;;
171425;VILLA VECCHIA L-44 BIANCO          P/ ME;pc;FP;2;0;23/05/2007;30/12/2050;1040863;PL. ME VILLA VECCHIA BIANCO;LB;PC;;;;;;
171590;XCONFORTO L-2;pc;FP;3;0;13/08/2003;30/12/2050;1037714;PL. ECON. CONFORTO RENDA ALPE MATT C/ LI;FP;PC;;;;;;
171964;VILLA VECCHIA FILETE GRIGIO/I      P/ ME;pc;FP;5;0;15/05/2003;30/12/2050;1038273;PL. SERIE VILLA VECCHIA GRIGIO AZ C/ DE;FP;PC;;;;;;
171964;VILLA VECCHIA FILETE GRIGIO/I      P/ ME;pc;FP;5;0;15/05/2003;30/12/2050;1038290;PL. SERIE VILLA VECCHIA BIANCO/GRIGIO AZ;FP;PC;;;;;;
172090;VILLA VECCHIA L-33 GRIGIO          P/ ME;pc;FP;4;0;15/05/2003;30/12/2050;1038273;PL. SERIE VILLA VECCHIA GRIGIO AZ C/ DE;FP;PC;;;;;;
172090;VILLA VECCHIA L-33 GRIGIO          P/ ME;pc;FP;4;0;15/05/2003;30/12/2050;1038290;PL. SERIE VILLA VECCHIA BIANCO/GRIGIO AZ;FP;PC;;;;;;
172090;VILLA VECCHIA L-33 GRIGIO          P/ ME;pc;FP;5;0;17/02/2005;30/12/2050;1039547;X PLACA ESPECIAL SERIE VILLA VECCHIA;LB;PC;;;;;;
173720;VILLA VECCHIA L-1 BEIGE;pc;FP;2;0;23/05/2007;30/12/2050;1040871;PL. ME VILLA VECCHIA BEIGE;LB;PC;;;;;;
173754;VILLA VECCHIA L-1 GRIGIO;pc;FP;6;0;17/02/2005;30/12/2050;1039547;X PLACA ESPECIAL SERIE VILLA VECCHIA;LB;PC;;;;;;
173800;VILLA VECCHIA I-1000 BEIGE;pc;FP;4;0;23/05/2007;30/12/2050;1040871;PL. ME VILLA VECCHIA BEIGE;LB;PC;;;;;;
173835;VILLA VECCHIA I-1000 GRIGIO;pc;FP;7;0;17/02/2005;30/12/2050;1039547;X PLACA ESPECIAL SERIE VILLA VECCHIA;LB;PC;;;;;;
173932;VILLA FILETE VECCHIA BEIGE/II;pc;FP;3;0;23/05/2007;30/12/2050;1040871;PL. ME VILLA VECCHIA BEIGE;LB;PC;;;;;;
175714;ASSIRIA VERDE 20X30;m2;FP;1;0;01/01/2002;30/12/2050;178993;"S 4389-ASSIRIA VERDE-3""X8""-7,0";FP;pc;5112826;EMB.PAP.OND.20X30 FR3 7,2MM;5201926;EMB.PAP.OND.7,5X20 TRIM MED.366X203X077;;
175714;ASSIRIA VERDE 20X30;m2;FP;3;0;11/06/2004;30/12/2050;1038737;PL. SERIE ASSIRIA VERDE / GELO;FP;PC;;;;;;
176419;ASSIRIA FILETE VERDE;pc;FP;2;0;11/06/2004;30/12/2050;1038737;PL. SERIE ASSIRIA VERDE / GELO;FP;PC;;;;;;
177130;ANDORRA AZUL;m2;FP;5;0;24/04/2006;30/12/2050;177288;S 4389-ANDORRA AZUL;FP;pc;5112826;EMB.PAP.OND.20X30 FR3 7,2MM;9233140;EMB.PAP.OND.7,5X20 TRIM MED.366X203X077;;
177148;ANDORRA CHERRY;m2;FP;5;0;24/04/2006;30/12/2050;177296;S 4389-ANDORRA CHERRY;FP;pc;5112826;EMB.PAP.OND.20X30 FR3 7,2MM;;;;
177164;ANDORRA MARFIL;m2;FP;5;0;24/04/2006;30/12/2050;177318;S 4389-ANDORRA MARFIL;FP;pc;5112826;EMB.PAP.OND.20X30 FR3 7,2MM;;;;
187550;VILLA VECCHIA BEIGE 25X33,5*;M2;FP;802;0;14/01/2006;30/12/2050;171280;VILLA VECCHIA I-3300 BEIGE;FP;pc;5097517;EMB.PAP.OND.25X33 MED.AUT.337X252X146;;;;
